episode,step,epsilon,reward,loss
31050,4475744,0.1000,10.80,16.8447
31100,4488564,0.1000,8.20,15.2275
31150,4501945,0.1000,9.70,16.1329
31200,4518004,0.1000,11.26,17.9067
31250,4533514,0.1000,11.22,16.6808
31300,4547510,0.1000,10.26,15.9553
31350,4560728,0.1000,9.16,16.2996
31400,4572672,0.1000,7.44,14.3542
31450,4588269,0.1000,12.20,18.1968
31500,4602302,0.1000,10.22,16.8837
31550,4616744,0.1000,10.80,17.9587
31600,4631300,0.1000,10.74,17.8575
31650,4645657,0.1000,8.78,18.9141
31700,4660798,0.1000,10.96,20.6136
31750,4676006,0.1000,10.58,19.7962
31800,4690430,0.1000,9.36,16.4287
31850,4706161,0.1000,11.56,17.1869
31900,4720163,0.1000,10.26,14.3297
31950,4735677,0.1000,10.78,14.7670
32000,4748600,0.1000,9.36,11.4222
32050,4761677,0.1000,8.82,12.9150
32100,4774534,0.1000,9.02,12.1216
32150,4788189,0.1000,8.18,14.6051
32200,4804078,0.1000,11.50,16.0317
32250,4817579,0.1000,9.34,12.6077
32300,4830826,0.1000,8.96,12.3460
32350,4844981,0.1000,9.28,14.3505
32400,4859222,0.1000,9.40,14.9419
32450,4874383,0.1000,10.64,14.8147
32500,4888149,0.1000,9.58,13.5450
32550,4903989,0.1000,11.36,16.4271
32600,4918167,0.1000,9.26,13.0192
32650,4931099,0.1000,9.42,13.3706
32700,4944879,0.1000,9.00,14.6589
32750,4959491,0.1000,10.26,14.9456
32800,4973824,0.1000,9.26,14.7595
32850,4988235,0.1000,9.02,16.2028
32900,5002229,0.1000,9.74,14.7138
32950,5016478,0.1000,10.46,14.5556
33000,5029406,0.1000,9.52,13.8354
33050,5044177,0.1000,10.34,17.3840
33100,5058047,0.1000,9.82,17.9399
33150,5070545,0.1000,8.42,14.4092
33200,5085058,0.1000,9.88,17.4262
33250,5098146,0.1000,9.10,17.0519
33300,5113189,0.1000,9.94,22.2075
33350,5126571,0.1000,8.96,19.0361
33400,5140983,0.1000,9.22,17.4444
33450,5156206,0.1000,11.40,19.5617
33500,5169312,0.1000,8.92,21.0070
33550,5183560,0.1000,10.44,23.9410
33600,5197564,0.1000,10.68,23.5910
33650,5213395,0.1000,10.80,27.4315
33700,5227363,0.1000,10.22,25.0320
33750,5244438,0.1000,12.50,29.0319
33800,5258452,0.1000,9.02,24.5566
33850,5272693,0.1000,10.02,22.7499
